2023-11-30 23:59:18,556 Dodawanie of:, 1, and, 1
2023-11-30 23:59:27,148 Dodawanie of:, 1, and, 1
2023-11-30 23:59:54,732 Dodawanie of:, 1, and, 1
2023-12-01 00:00:18,484 Dodawanie of: 1 and 1
2023-12-01 00:06:43,131 nan
2023-12-01 00:06:43,131 Dodawanie of: 1 and 1
2023-12-01 00:06:54,948 nan
2023-12-01 00:06:54,948 Dodawanie of: w and 1
2023-12-01 00:07:15,548 nan
2023-12-01 00:07:15,548 Dodawanie of: w and 1
2023-12-01 00:07:29,140 nan
2023-12-01 00:07:48,179 nan
2023-12-01 00:08:36,827 nan: ('w', '1')
